TicketNo,First Name,Last Name,HomePlanet,Cabin,Destination,BodyState,Age,VIP,RoomService,FoodCourt,Mall,Spa,VR Deck,Transported
0001-1,Maham,Ofracculy,Trapist 1e,Delta-0001-L,Kepler 186f,Normal,41,NO,0,0,0,0,0,FALSE
0002-1,Juanna,Vines,Earth,Gamma-0001-R,Kepler 186f,Normal,26,NO,1079.1,89.1,247.5,5435.1,435.6,TRUE
0003-1,Altark,Susent,Trapist 1e,Beta-0001-R,Kepler 186f,Normal,60,VIP,425.7,35402.4,0,66478.5,485.1,FALSE
0003-2,Solam,Susent,Trapist 1e,Beta-0001-R,Kepler 186f,Normal,34,NO,0,12701.7,3672.9,32957.1,1910.7,FALSE
0004-1,Willy,Santantines,Earth,Gamma-0002-R,Kepler 186f,Normal,18,NO,2999.7,693,1494.9,5593.5,19.8,TRUE
0005-1,Sandie,Hinetthews,Earth,Gamma-0001-L,Kepler 452b,Normal,46,NO,0,4781.7,0,2880.9,0,TRUE
0006-1,Billex,Jacostaffey,Earth,Gamma-0003-R,Kepler 186f,Normal,28,NO,415.8,15236.1,29.7,0,0,TRUE
0006-2,Candra,Jacostaffey,Earth,Kappa-0001-R,Kepler 186f,Cryostasis,29,NO,0,0,0,0,0,TRUE
0007-1,Andona,Beston,Earth,Gamma-0004-R,Kepler 186f,Normal,37,NO,0,7771.5,168.3,2138.4,0,TRUE
0008-1,Erraiam,Flatic,Trapist 1e,Delta-0002-L,Kepler 442b,Cryostasis,16,NO,0,0,0,0,0,TRUE
0008-2,Altardr,Flatic,Trapist 1e,Delta-0002-L,Kepler 186f,Cryostasis,36,NO,0,0,0,0,0,TRUE
0008-3,Wezena,Flatic,Trapist 1e,Delta-0002-L,Kepler 442b,Normal,47,NO,386.1,72220.5,5831.1,1089,1227.6,TRUE
0009-1,Berers,Barne,55-Cancri e,Gamma-0002-L,Kepler 186f,Normal,34,NO,722.7,0,11117.7,0,1118.7,TRUE
0010-1,Reney,Baketton,Earth,Kappa-0002-R,Kepler 186f,Normal,50,NO,7118.1,9.9,643.5,0,237.6,FALSE
0011-1,Elle,Bertsontry,Earth,Gamma-0003-L,Kepler 186f,Normal,30,NO,79.2,9642.6,118.8,19.8,69.3,TRUE
0012-1,Justie,Pooles,Earth,,Kepler 186f,Normal,33,NO,316.8,0,8672.4,0,0,FALSE
0013-1,Nelly,Carsoning,Earth,Kappa-0004-R,Kepler 186f,Cryostasis,28,NO,0,0,0,0,0,*System Error*
0014-1,Flats,Eccle,55-Cancri e,Gamma-0004-L,Kepler 442b,Normal,29,NO,12731.4,1207.8,0,0,0,FALSE
0015-1,Carry,Hughriend,Earth,Gamma-0005-L,Kepler 442b,Normal,26,NO,0,9.9,0,0,6306.3,FALSE
0016-1,Alus,Upead,55-Cancri e,Gamma-0006-L,Kepler 186f,Cryostasis,46,NO,0,0,0,0,0,TRUE
0017-1,Lyde,Brighttt,Earth,Kappa-0001-L,Kepler 186f,Normal,,NO,0,0,0,0,0,TRUE
0017-2,Philda,Brighttt,Earth,Gamma-0007-L,Kepler 442b,Normal,15,NO,4078.8,0,9.9,0,6722.1,FALSE
0018-1,Lerome,Peckers,Earth,Gamma-0005-R,Kepler 186f,Normal,21,NO,0,89.1,0,27947.7,0,*System Error*
0019-1,Sabih,Unhearfus,Trapist 1e,Epsilon-0001-R,Kepler 442b,Cryostasis,32,NO,0,0,0,0,0,*System Error*
0020-1,Almary,Brantuarez,Earth,Zeta-0001-R,Kepler 186f,Cryostasis,2,NO,0,0,0,0,0,FALSE
0020-2,Glendy,Brantuarez,Earth,Zeta-0001-R,Kepler 442b,Cryostasis,50,NO,0,0,0,0,0,FALSE
0020-3,Mollen,Mcfaddennon,Earth,Zeta-0001-R,Kepler 442b,Cryostasis,30,NO,0,0,0,0,0,FALSE
0020-4,Breney,Jacostanley,Earth,Zeta-0001-R,Kepler 186f,Normal,11,NO,0,0,0,0,0,TRUE
0020-5,Mael,Brantuarez,Earth,Zeta-0001-R,Kepler 452b,Cryostasis,2,NO,0,0,0,0,0,FALSE
0020-6,Terta,Mcfaddennon,Earth,Zeta-0001-R,Kepler 186f,Normal,9,NO,0,0,0,0,0,FALSE
0021-1,Meratz,Caltilter,Trapist 1e,Epsilon-0002-R,Kepler 186f,Normal,39,NO,0,65854.8,0,1791.9,5791.5,*System Error*
0022-1,,,55-Cancri e,Alfa-0001-L,Kepler 186f,Normal,23,NO,9702,19.8,683.1,0,0,FALSE
0023-1,Brence,Harperez,Earth,Gamma-0006-R,Kepler 186f,Normal,22,NO,99,0,6286.5,0,0,*System Error*
0024-1,Penton,Fullided,Trapist 1e,Epsilon-0003-R,Kepler 186f,Cryostasis,63,NO,0,0,0,0,0,TRUE
0025-1,Karard,Brookenson,Earth,Gamma-0007-R,Kepler 186f,Normal,16,NO,0,2227.5,0,9880.2,0,FALSE
0026-1,Anyoni,Unconary,Trapist 1e,Epsilon-0001-L,Kepler 442b,Normal,36,NO,217.8,60122.7,0,14236.2,3247.2,FALSE
0027-1,Karlen,Ricks,Earth,Gamma-0008-L,Kepler 186f,Normal,32,NO,0,15988.5,2603.7,1118.7,594,*System Error*
0028-1,Ceros,Mare,55-Cancri e,Gamma-0009-L,Kepler 186f,Normal,45,NO,11137.5,0,1346.4,475.2,0,FALSE
0029-1,Aldah,Ainserfle,Trapist 1e,Delta-0003-L,Kepler 442b,Cryostasis,23,NO,0,0,0,0,0,*System Error*
0030-1,Ginia,Morsentley,Earth,Kappa-0005-R,Kepler 186f,Normal,34,NO,0,8415,801.9,4326.3,4484.7,FALSE
0031-1,Coobix,Datie,55-Cancri e,Gamma-0010-L,Kepler 186f,Normal,49,NO,2118.6,0,13968.9,0,12167.1,TRUE
0031-2,Cinets,Datie,55-Cancri e,Gamma-0010-L,Kepler 186f,Normal,3,NO,0,0,0,0,0,TRUE
0031-3,Dontch,Datie,55-Cancri e,Gamma-0010-L,Kepler 186f,Normal,22,NO,0,0,17325,9801,0,TRUE
0032-1,Alma,Pringry,Trapist 1e,Alfa-0001-R,Kepler 186f,Cryostasis,22,NO,0,0,0,0,0,*System Error*
0032-2,Dhena,Pringry,Trapist 1e,Alfa-0001-R,Kepler 442b,Cryostasis,25,NO,0,0,0,0,0,*System Error*
0033-1,Eliana,Delazarson,Earth,Gamma-0008-R,Kepler 442b,Normal,25,NO,0,6326.1,0,0,0,*System Error*
0034-1,Ziba,Oingwhedly,Trapist 1e,Alfa-0002-R,Kepler 442b,Cryostasis,29,NO,0,0,0,0,0,TRUE
0035-1,Luse,Butte,55-Cancri e,Alfa-0002-L,Kepler 442b,Normal,24,NO,7761.6,9543.6,0,9414.9,0,FALSE
